player,Wildcard,Division,Conference,Superbowl,Total,salary
Tom Brady,1,5,5,4,15,100.065
Aaron Rodgers,2,4,3,0,9,125.602
Russell Wilson,4,4,1,1,10,91.114
Ben Roethlisberger,3,3,1,0,7,127.69
Alex Smith,2,2,0,0,4,93.7
Andrew Luck,2,2,1,0,5,75.264
Cam Newton,2,2,1,1,6,104.374
Dak Prescott,1,2,0,0,3,4.028
Deshaun Watson,2,1,0,0,3,9.446
Drew Brees,2,2,1,0,5,125.15
Kirk Cousins,2,1,0,0,3,98.363
Marcus Mariota,2,1,0,0,3,45.136
Matt Ryan,1,2,1,1,5,118
Matt Stafford,2,0,0,0,2,129.741
Patrick Mahomes,0,2,2,1,5,11.2
Peyton Manning,0,2,1,1,4,35
Andy Dalton,1,0,0,0,1,79.959
Blake Bortles,1,1,1,0,3,31.655
Brian Hoyer,1,0,0,0,1,12.86
Brock Osweiler,1,1,0,0,2,15.573
Carson Palmer,0,1,1,0,2,62.875
Carson Wentz,1,0,0,0,1,26.582
Case Keenum,0,1,1,0,2,24.684
Eli Manning,1,0,0,0,1,124.15
Jared Goff,1,1,1,1,4,29.678
Jimmy Garoppolo,0,1,1,1,3,59.81
Joe Flacco,1,1,0,0,2,106.1
Josh Allen,1,0,0,0,1,8.666
Lamar Jackson,1,1,0,0,2,3.875
Mitchell Trubisky,1,0,0,0,1,19.795
Nick Foles,1,1,0,0,2,33.763
Philip Rivers,1,1,0,0,2,117.333
Ryan Tannehill,1,1,1,0,3,51.17
Teddy Bridgewater,1,0,0,0,1,12.39
Tony Romo,1,1,0,0,2,47.581
Tyrod Taylor,1,0,0,0,1,37.681
