Salary Rank,player,Wildcard,Division,Conference,Superbowl,Total,salary
1,Matt Stafford,2,0,0,0,2,129.7
2,Ben Roethlisberger,3,3,1,0,7,127.7
3,Aaron Rodgers,2,4,3,0,9,125.6
4,Drew Brees,2,2,1,0,5,125.2
5,Eli Manning,1,0,0,0,1,124.2
6,Matt Ryan,1,2,1,1,5,118
7,Philip Rivers,1,1,0,0,2,117.3
8,Joe Flacco,1,1,0,0,2,106.1
9,Cam Newton,2,2,1,1,6,104.4
10,Tom Brady,1,5,5,4,15,100.1
11,Kirk Cousins,2,1,0,0,3,98.4
12,Alex Smith,2,2,0,0,4,93.7
13,Russell Wilson,4,4,1,1,10,91.1
14,Andy Dalton,1,0,0,0,1,80
15,Andrew Luck,2,2,1,0,5,75.3
16,Carson Palmer,0,1,1,0,2,62.9
17,Jimmy Garoppolo,0,1,1,1,3,59.8
18,Ryan Tannehill,1,1,1,0,3,51.2
19,Tony Romo,1,1,0,0,2,47.6
20,Marcus Mariota,2,1,0,0,3,45.1
21,Tyrod Taylor,1,0,0,0,1,37.7
22,Peyton Manning,0,2,1,1,4,35
23,Nick Foles,1,1,0,0,2,33.8
24,Blake Bortles,1,1,1,0,3,31.7
25,Jared Goff,1,1,1,1,4,29.7
26,Carson Wentz,1,0,0,0,1,26.6
27,Case Keenum,0,1,1,0,2,24.7
28,Mitchell Trubisky,1,0,0,0,1,19.8
29,Brock Osweiler,1,1,0,0,2,15.6
30,Brian Hoyer,1,0,0,0,1,12.9
31,Teddy Bridgewater,1,0,0,0,1,12.4
32,Patrick Mahomes,0,2,2,1,5,11.2
33,Deshaun Watson,2,1,0,0,3,9.4
34,Josh Allen,1,0,0,0,1,8.7
35,Dak Prescott,1,2,0,0,3,4
36,Lamar Jackson,1,1,0,0,2,3.9
